canonical_smiles,standard_units,standard_value,units,value,Potency
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(OC)c2)cc1,nM,1.56,nM,1.56,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2OC)cc1,nM,0.97,nM,0.97,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)C2CCNCC2)cc1,nM,8.77,nM,8.77,Active
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,nM,1.31,nM,1.31,Active
CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,nM,6.53,nM,6.53,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,nM,15.0,nM,15.0,Active
CCN(CC)C(=O)c1ccc(C(c2ccccc2)N2CCNCC2)cc1,nM,11.3,nM,11.3,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,nM,0.87,nM,0.87,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2c(C)cccc2C)cc1,nM,187.0,nM,187.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,nM,736.0,nM,736.0,Active
C=CCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,nM,3.0,nM,3.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)c(Cl)c2)cc1,nM,2.31,nM,2.31,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,nM,27.0,nM,27.0,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(F)c2)cc1,nM,0.74,nM,0.74,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccs2)cc1,nM,2.85,nM,2.85,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc([N+](=O)[O-])c2)cc1,nM,1.1,nM,1.1,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC3CC3)CC2)c2ccccc2)cc1,nM,9.35,nM,9.35,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(SC)cc2)cc1,nM,2.09,nM,2.09,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc3ccccc23)cc1,nM,1.23,nM,1.23,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(N)c2)cc1,nM,2.57,nM,2.57,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(C3CCCCC3)CC2)c2ccccc2)cc1,nM,35.5,nM,35.5,Active
CCN(CC)C(=O)c1ccc(C(=C2CCN(CC=C(C)C)CC2)c2ccccc2)cc1,nM,2.09,nM,2.09,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccccc2F)cc1,nM,1.04,nM,1.04,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(OC)cc2)cc1,nM,2.04,nM,2.04,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(C(F)(F)F)c2)cc1,nM,0.63,nM,0.63,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc(C(C)=O)c2)cc1,nM,0.86,nM,0.86,Active
CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(Cl)cc2)cc1,nM,4.17,nM,4.17,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O)C(N)=O,nM,3.4,nM,3.4,Active
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO)C(N)=O,nM,2.4,nM,2.4,Active
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,nM,151.0,nM,151.0,Active
CC(C)(C)c1ccc(C(c2cccc(O)c2)N2CCN(Cc3ccccc3)CC2)cc1,nM,5.51,nM,5.51,Active
CC1(C)SSC(C)(C)[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](Cc2ccc(Cl)cc2)C(=O)N[C@H]1C(=O)O,nM,1.53,nM,1.53,Active
O=[N+]([O-])c1cc2c(cc1CN1CCC(n3c(O)nc4ccccc43)CC1)OCO2,nM,264.0,nM,264.0,Active
O=[N+]([O-])c1cc2c(cc1CN1CC=C(n3c(O)nc4ccccc43)CC1)OCO2,nM,1040.0,nM,1040.0,Active
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,nM,2530.0,nM,2530.0,Active
Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,nM,117.0,nM,117.0,Active
Oc1nc2ccccc2n1CCCNCc1cc2c(cc1Cl)OCO2,nM,3330.0,nM,3330.0,Active
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O=S(=O)(O)O,nM,242.0,nM,242.0,Active
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,nM,431.0,nM,431.0,Active
Cc1ncc([N+](=O)[O-])n1CCNC(=O)N1CCC(c2cc(-c3ccc(Cl)cc3Cl)[nH]n2)CC1,nM,7130.0,nM,7130.0,Active
CNC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3cc4c(cc3Cl)OCO4)CC2)C1=O,nM,11.4,nM,11.4,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3nsnc3c1)CC2,nM,4120.0,nM,4120.0,Active
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,nM,0.9,nM,0.9,Active
Oc1nc2ccccc2n1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,nM,37.4,nM,37.4,Active
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,nM,1090.0,nM,1090.0,Active
COc1ccc(CN2CCC(n3c(O)nc4ccccc43)CC2)c(Cl)c1,nM,1410.0,nM,1410.0,Active
Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,nM,353.0,nM,353.0,Active
Cc1ccc2nc(O)n(C3CCN(C(=O)OCc4cc5c(cc4Cl)OCO5)CC3)c2c1,nM,5640.0,nM,5640.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1ccc3c(c1)OCO3)CC2,nM,1190.0,nM,1190.0,Active
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,nM,123.0,nM,123.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,nM,1840.0,nM,1840.0,Active
O=C1CNc2ccccc2N1C1CCN(Cc2cc3c(cc2Cl)OCO3)CC1,nM,620.0,nM,620.0,Active
O=C1NCN(c2ccccc2)C12CCN(Cc1cc3c(cc1Cl)OCO3)CC2,nM,138.0,nM,138.0,Active
CNC(=O)CN1CN(c2ccccc2)C2(CCN(C(=O)OCc3cc4c(cc3Cl)OCO4)CC2)C1=O,nM,1765.0,nM,1765.0,Active
COc1ccc2c(c1OC)[C@]13CC[N+](C)(C)[C@H](C2)[C@]12C=C[C@]1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2.[I-],nM,34.0,nM,34.0,Active
CN(C(=O)Cc1ccccc1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1,nM,5844.0,nM,5844.0,Active
CO[C@@]12C=C[C@]34C[C@]1(C)[C@@H](c1ccccc1)N[C@H]2[C@@]31CCN(C)[C@@H]4Cc2ccc(O)cc21,nM,0.32,nM,0.32,Active
CO[C@]12C=C[C@]34C[C@@]1(C)[C@H](c1ccccc1)N(C)[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,nM,0.71,nM,0.71,Active
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCn2cccn2)CC1,nM,809.0,nM,809.0,Active
COC12C=CC34C[C@@]1(C)C(c1ccccc1)=N[C@H]2C31CCN(C)C4Cc2ccc(O)cc21,nM,0.69,nM,0.69,Active
COc1ccc(Cl)cc1-c1cccn(C(CN2CCCC2)c2ccccc2)c1=O,nM,4170.0,nM,4170.0,Active
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2cccn2)CC1,nM,1701.0,nM,1701.0,Active
COc1ccc2c(c1O)C13CCN(C)C(C2)C12C=CC1(OC)[C@H]3N=C(c3ccccc3)[C@]1(C)C2,nM,2.44,nM,2.44,Active
