MW,LogP,TPSA,HBD,HBA,RotBonds,AroRings,HeavyAtoms,Heteroatoms
378.5160000000001,4.362500000000003,41.57000000000001,1,3,6,2,28,4
378.5160000000001,4.362500000000003,41.57000000000001,1,3,6,2,28,4
350.5060000000002,4.300100000000004,32.34,1,2,6,2,26,3
449.63900000000024,4.847200000000005,36.019999999999996,0,4,9,2,33,5
404.5980000000003,5.866400000000007,23.550000000000004,0,2,8,2,30,3
366.48,4.493000000000004,32.34,1,2,5,2,27,4
351.4940000000002,3.1632000000000016,35.580000000000005,1,3,6,2,26,4
348.49,4.353900000000004,32.34,1,2,5,2,26,3
376.5440000000001,4.970740000000005,32.34,1,2,5,2,28,3
424.58800000000014,6.270900000000007,23.550000000000004,0,2,6,3,32,3
388.5550000000003,5.252300000000005,23.550000000000004,0,2,7,2,29,3
417.3800000000001,5.660700000000006,32.34,1,2,5,2,28,5
362.51700000000005,4.696100000000005,23.550000000000004,0,2,5,2,27,3
366.48,4.493000000000004,32.34,1,2,5,2,27,4
354.519,4.4154000000000035,32.34,1,3,5,2,25,4
393.4870000000001,4.262100000000003,75.48,1,4,6,2,29,6
402.58200000000016,5.476300000000006,23.550000000000004,0,2,7,2,30,3
394.58400000000006,5.0758000000000045,32.34,1,3,6,2,28,4
398.55000000000007,5.507100000000006,32.34,1,2,5,3,30,3
363.50500000000005,3.9361000000000015,58.36,2,3,5,2,27,4
430.63600000000025,6.399000000000007,23.550000000000004,0,2,6,2,32,3
416.60900000000015,6.032500000000007,23.550000000000004,0,2,7,2,31,3
366.48,4.493000000000004,32.34,1,2,5,2,27,4
378.5160000000001,4.362500000000003,41.57000000000001,1,3,6,2,28,4
416.487,5.3727000000000045,32.34,1,2,5,2,30,6
390.5270000000001,4.556500000000004,49.410000000000004,1,3,6,2,29,4
382.93500000000006,5.007300000000004,32.34,1,2,5,2,27,4
847.9200000000004,-4.7112,354.45,13,15,22,2,60,21
685.7790000000002,-2.5353999999999908,275.29999999999995,10,10,19,2,49,16
327.3800000000001,1.3014,70.0,2,5,2,1,24,5
414.59300000000013,5.596900000000006,26.71,1,3,5,3,31,3
680.2490000000003,1.7655000000000016,199.95,7,9,7,2,45,15
396.4030000000002,3.2159000000000013,102.89000000000001,1,7,4,3,29,9
394.3870000000002,3.1256000000000013,102.89000000000001,1,7,4,3,29,9
429.8600000000001,4.097700000000002,86.05000000000001,1,6,3,3,30,9
399.8780000000002,4.269520000000003,59.750000000000014,1,5,3,3,28,7
359.813,3.3039000000000014,68.54,2,5,6,3,25,7
668.7650000000004,1.7434000000000003,180.45999999999998,6,10,0,2,47,13
336.47900000000004,4.136700000000004,23.550000000000004,0,2,6,2,25,3
492.36700000000025,4.3858200000000025,121.98,2,5,6,3,33,12
470.9570000000004,2.4555999999999996,74.35000000000002,1,6,5,2,33,9
379.4890000000001,2.6198000000000006,61.36000000000001,1,6,3,3,27,7
504.1110000000003,4.835600000000006,62.16,2,5,4,1,35,6
385.8510000000001,3.9611000000000036,59.750000000000014,1,5,3,3,27,7
309.45300000000003,4.292000000000004,20.310000000000002,0,2,7,2,23,2
371.86800000000017,4.241000000000004,50.519999999999996,1,4,4,3,26,6
357.4500000000003,1.7072999999999998,73.16,3,5,2,1,26,5
443.8870000000002,4.406120000000004,86.05000000000001,1,6,3,3,31,9
365.43300000000016,2.3438,54.040000000000006,1,5,3,2,27,6
513.5090000000002,5.5098000000000065,43.78,1,3,7,3,35,6
413.52100000000013,4.407400000000004,44.81,1,4,5,3,31,5
399.87800000000016,3.4918000000000022,54.040000000000006,1,5,3,2,28,7
399.87800000000016,2.997200000000001,54.040000000000006,1,5,3,2,28,7
514.9660000000003,2.592199999999999,100.65,1,7,5,2,36,11
612.5520000000001,1.573300000000001,40.05,0,4,4,2,37,6
356.51000000000016,3.2536000000000023,32.78,0,3,4,1,26,4
428.5760000000003,3.9547000000000025,44.730000000000004,2,4,2,2,32,4
442.6030000000003,4.296900000000004,35.94,1,4,2,2,33,4
384.48000000000013,2.3339,67.67,0,5,7,2,28,7
426.5600000000003,4.113100000000004,45.06,1,4,2,2,32,4
408.92900000000026,4.862500000000006,34.47,0,3,6,3,29,5
370.4970000000001,2.8073000000000015,50.6,0,4,8,2,27,6
456.5860000000002,4.121700000000003,54.290000000000006,1,5,3,2,34,5
358.485,4.508920000000003,25.240000000000002,0,2,5,3,27,3
374.484,4.209100000000003,34.47,0,3,6,3,28,4
355.8690000000001,4.793400000000004,41.29,1,3,3,3,25,5
500.6390000000003,4.520400000000004,63.52000000000001,1,6,5,2,37,6
392.4740000000002,4.348200000000003,34.47,0,3,6,3,29,5
1391.6890000000012,-4.092299999999992,589.6899999999998,19,18,46,2,99,34
1361.6670000000008,-5.010999999999987,590.7699999999999,19,17,44,2,97,34
1373.6740000000004,-4.005799999999993,555.4699999999999,18,17,32,2,98,33
1373.6740000000004,-4.005799999999993,555.4699999999999,18,17,32,2,98,33
1317.5660000000003,-5.420500000000003,555.4699999999998,18,17,30,2,94,33
1391.6890000000012,-4.092299999999992,589.6899999999998,19,18,46,2,99,34
1335.5810000000008,-5.506999999999996,589.6899999999999,19,18,44,2,95,34
1391.6890000000012,-4.092299999999994,589.6899999999999,19,18,46,2,99,34
1391.6890000000012,-4.092299999999994,589.6899999999999,19,18,46,2,99,34
